Course,Day,Begin Time,End Time,Room,Start,Count,End,Count
MUS 331J,MWF,9:00 AM,10:00 AM,MRH 2.604,,,,
MUS 334,TTH,12:30 PM,2:00 PM,MRH 2.610,,,,
MUS 334,TTH,11:00 AM,12:30 PM,MRH 2.634,,,,
MUS 334,M,5:00 PM,6:00 PM,MRH 4.126,,,,
MUS 334,M,6:00 PM,7:00 PM,MRH 4.126,,,,
MUS 342,TTH,11:00 AM,12:30 PM,MRH 3.134,,,,
MUS 342,TTH,11:00 AM,12:30 PM,MRH M3.114,,,,
MUS 354C,MWF,11:00 AM,12:00 PM,MRH 4.130,,,,
MUS 354S,MF,12:30 PM,2:00 PM,GDC 6.202,,,,
MUS 354S,W,6:00 PM,9:00 PM,GDC 6.202,,,,
MUS 155C,TTH,11:00 AM,12:00 PM,MRH 6.222,,,,
MUS 255F,TTH,8:00 AM,9:30 AM,MRH 2.114,,,,
MUS 255M,TTH,9:30 AM,10:30 AM,MRH 2.114,,,,
MUS 225V,TTH,8:30 AM,9:30 AM,MRH 2.634,,,,
MUS 259C,TH,3:30 PM,5:00 PM,MRH 2.114,,,,
MUS 259W,M,4:00 PM,6:00 PM,MRH 2.610,,,,
MUS 262C,TTH,10:00 AM,11:00 AM,MRH 2.118,,,,
MUS 368L,TTH,12:30 PM,2:00 PM,MRH M3.113,,,,
MUS 271P,TTH,2:00 PM,3:00 PM,MRH 5.244,,,,
MUS 271P,MW,2:00 PM,3:00 PM,MRH 4.116,,,,
MUS 376J,TTH,5:00 PM,6:30 PM,DFA 4.126,,,,
MUS 376J,TTH,12:30 PM,2:00 PM,MRH 4.126,,,,
MUS 176M,M,4:00 PM,5:00 PM,MRH 2.614,,,,
MUS 276S,T,2:00 PM,3:30 PM,MRH 5.246,,,,
MUS 276T,T,2:00 PM,3:30 PM,MRH 2.608,,,,
MUS 276U,TTH,2:00 PM,3:00 PM,MRH 2.106,,,,
MUS 276V,TH,12:30 PM,2:00 PM,MRH 5.246,,,,
MUS 379K,TTH,9:30 AM,11:00 AM,MRH M3.114,,,,
MUS 379K,TTH,2:00 PM,3:30 PM,MRH 2.610,,,,
MUS 379K,MWF,2:00 PM,3:00 PM,MRH 2.106,,,,
